url,Issuer,Cedent / sponsor,Placement / structuring agent/s,Risk modelling / calculation agents etc,Risks / perils covered,Size,Trigger type,Ratings,Date of issue
https://www.artemis.bm/deal-directory/east-lane-re-vii-ltd-series-2024-1/,East Lane Re VII Ltd.,Chubb,Aon Securities is sole structuring agent and bookrunner,CyberCube,Cyber risks,150000000.0,Indemnity,NR,Dec 2023
https://www.artemis.bm/deal-directory/ocelot-re-ltd-series-2023-1/,Ocelot Re Ltd.,Hiscox,Aon Securities is sole structuring agent and bookrunner,AIR Worldwide,"US, Canada named storms and earthquakes",125000000.0,Industry loss index,NR,Dec 2023
https://www.artemis.bm/deal-directory/foundation-re-iv-ltd-series-2023-1/,Foundation Re IV Ltd.,Hartford Fire Insurance Co.,Aon Securities is sole structuring agent and bookrunner,AIR Worldwide,"US named storm, US earthquake",200000000.0,Indemnity,NR,Dec 2023
https://www.artemis.bm/deal-directory/bonanza-re-ltd-series-2023-2/,Bonanza Re Ltd.,ARX Holding Corp. (Progressive Home),Gallagher Securities is sole structuring agent and bookrunner,AIR Worldwide,"US named storm, earthquake, severe thunderstorm, winter storm, wildfire",70000000.0,Indemnity,NR,Dec 2023
https://www.artemis.bm/deal-directory/london-bridge-2-pcc-limited-fuchsia-2023-1/,London Bridge 2 PCC Limited,Beazley,Aon Securities is sole structuring agent and bookrunner,RMS,"US, Canada, Caribbean named storms and earthquakes",100000000.0,Indemnity,NR,Dec 2023
https://www.artemis.bm/deal-directory/king-max-re-dac-2023/,King Max Re DAC,VKB Re,Aon Securities is sole structuring agent and bookrunner,RMS,"Germany earthquake, flood, hailstorm, windstorm",,,,
https://www.artemis.bm/deal-directory/polestar-re-ltd-series-2024-1/,PoleStar Re Ltd.,Beazley,Gallagher Securities is sole structuring agent and bookrunner,RMS,Cyber risks,140000000.0,Indemnity,NR,Dec 2023
https://www.artemis.bm/deal-directory/easton-re-ltd-series-2024-1/,Easton Re Ltd.,Hamilton Re,GC Securities is sole structuring agent and bookrunner,AIR Worldwide,"U.S., DC, Puerto Rico, Virgin Islands named storm, U.S. earthquake, Canada earthquake",200000000.0,Industry loss index,NR,Dec 2023
https://www.artemis.bm/deal-directory/mystic-re-iv-ltd-series-2024-1/,Mystic Re IV Ltd.,Liberty Mutual,GC Securities is sole structuring agent and bookrunner,AIR Worldwide,"US, Canada, Caribbean named storms and earthquakes",300000000.0,Industry loss index,NR,Dec 2023
https://www.artemis.bm/deal-directory/blue-sky-re-dac-2023-1/,Blue Sky Re DAC,Allianz,GC Securities and Howden Tiger Capital Markets & Advisory are joint structuring agents and bookrunners,RMS,European windstorm,,,,
https://www.artemis.bm/deal-directory/four-lakes-re-ltd-series-2023-1/,Four Lakes Re Ltd.,American Family Mutual Insurance Co.,"Aon Securities is sole structuring agent and lead bookrunner, Howden Tiger Capital Markets & Advisory is joint bookrunner.",AIR Worldwide,"U.S named storm, earthquake, severe thunderstorm, winter storm, wildfire",175000000.0,Indemnity,NR,Dec 2023
https://www.artemis.bm/deal-directory/galileo-re-ltd-series-2023-1/,Galileo Re Ltd.,XL Bermuda Ltd.,GC Securities is sole structuring agent and joint bookrunner. Aon Securities is joint bookrunner.,AIR Worldwide,"U.S., DC, Puerto Rico, Virgin Islands named storm, U.S. earthquake, Canada earthquake",375000000.0,Industry loss index,NR,Dec 2023
